"Costs for inland shipping","Coûts de transport intérieure"
"Costs for inland shipping (minimum)","Coûts de transport intérieure (minimum)"
"Costs for shipping to foreign countries","Coûts d'expédition vers les pays étrangers"
"Costs for shipping to foreign countries (minimum)","Coûts d'expédition vers les pays étrangers (minimum)"
"Custom text for checkout page","Texte personnalisé pour la page de paiement"
"Cash on Delivery","Paiement à la livraison (C.O.D.)"
"Cash on Delivery fee","Frais pour paiement à la livraison"
"You will be charged an extra fee of %s.","Vous serez facturé des frais supplémentaires de %s."
"Incl. Tax","Taxes incluses"
"Cash on Delivery fee (Excl.Tax)","Frais pour paiement à la livraison (taxes en sus)"
"Cash on Delivery fee (Incl.Tax)","Frais pour paiement à la livraison (taxes incluses)"
"Cash on Delivery fee %s","Frais pour paiement à la livraison %s"
"Refund Cash on Delivery fee","Remboursement des frais de livraison"
"Cost calculation","Calcul des coûts"
"Fixed","Fixé"
"Percentage","Pourcentage"
"Cost calculation base","Base de calcul des coûts"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Veuillez entrer un code d'attribut sales_flat_quote_address dont la valeur est utilisée comme base pour le calcul du coût."
"Cash on Delivery Tax","Taxe pour paiement à la livraison"
"Display Zero Fee","Afficher les frais zéro"
"Invoice Order","Facturation automatique"
"Disallow specific shipping methods","Exclure les méthodes d'expédition spécifiques"
"Disallowed shipping methods","Méthodes d'expédition non autorisées"
