"Costs for inland shipping","Pris for innenlandsforsending"
"Costs for shipping to foreign countries","Pris for sending til utland"
"Custom text for checkout page","Egendefinert tekst til utsjekkingsside"
"Cash on Delivery","Oppkrav"
"Cash on Delivery fee","Oppkravsgebyr"
"You will be charged an extra fee of %s.","Du vil bli belastet et oppkravsgebyr pålydende %s."
"Incl. Tax","Ink. MVA"
"Cash on Delivery fee (Excl.Tax)","Oppkravsgebyr (Eks. MVA)"
"Cash on Delivery fee (Incl.Tax)","Oppkravsgebyr (Ink. MVA)"
"Cash on Delivery fee %s","Oppkravsgebyr %s"
"Refund Cash on Delivery fee","Refunder oppkravsgebyr"
"Cost calculation","Priskalkulasjon"
"Fixed","Fast"
"Percentage","Prosentvis"
"Cost calculation base","Utgangspunkt for priskalkulasjon"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Vennligst oppgi en sales_flat_quote_address attributtkode som vil bli brukt som utgangspunkt for priskalkulasjon."
